WAYPOINT_NAME,Waypoint description,Lat,Lon
KINGSTON,Kingston,47.799674,-122.499967
DUVALL,Duvall,47.737819,-121.982787
PORT_OF_POULSBO_MARINA_MOORAGE,Port of Poulsbo Marina Moorage,47.718576,-122.637994
MAGNUSON_PARK,Magnuson Park,47.681032,-122.255792
LAKE_UNION,Lake Union,47.639945,-122.339615
I-90_BRIDGE,I-90 Bridge,47.589881,-122.26412
ALKI_POINT,Alki Point,47.576063,-122.422083
EAST_CHANNEL_BRIDGE,East Channel Bridge,47.580974,-122.203532
FACTORIA_MALL,Factoria Mall,47.578204,-122.163748
ISSAQUAH,Issaquah,47.534469,-122.032907
